BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
Magdeburg-Stendal University of Applied Sciences;5200
Merseburg University of Applied Sciences;2960
Flensburg University of Applied Sciences;3134
West Coast University of Applied Sciences;1455
Kiel University of Applied Sciences;7659
Technical University Lübeck;4967
NORDAKADEMIE University of Applied Sciences;2442
University of Applied Sciences, Wedel;878
Erfurt University of Applied Sciences;4053
University of Applied Sciences Jena;4190
Nordhausen University of Applied Sciences;1889
University of Applied Sciences Schmalkalden;2580
SRH University of Applied Sciences Gera;1522
University of Public Administration Kehl;1379
University of Applied Sciences - Public Administration and Finance Ludwigsburg;2645
Schwetzingen Technical Institute & Graduate Court Registrars' College;640
Hochschule der Polizei Baden-Württemberg;2216
Hochschule für den öffentlichen Dienst in Bayern;4718
FH der Polizei Brandenburg (VerwFH) in Oranienburg;699
Fachhochschule für Finanzen Brandenburg in Königs Wusterhausen;947
Hochschule für öffentliche Verwaltung Bremen;685
Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg;371
Hessische Hochschule für Finanzen und Rechtspflege;1498
Hessische Hochschule für Polizei und Verwaltung;4299
University of Applied Sciences of Public Administration, Police and Administration of Justice in Güstrow;547
Norddeutsche Hochschule für Rechtspflege, Hildesheim;409
Kommunale Hochschule für Verwaltung in Niedersachsen;1551
University of Applied Sciences for the Administration of Justice of North Rhine-Westphalia;933
Fachhochschule für Finanzen NRW;2795
University of Applied Sciences for Public Administration and Management of North Rhine-Westphalia;13494
Federal University of Applied Administrative Sciences;9195
Hochschule für Finanzen Rheinland-Pfalz;669
University of Applied Sciences in Hachenburg;348
Hochschule für öffentliche Verwaltung Rheinland-Pfalz;962
Fachhochschule für Verwaltung Saarbrücken;829
Hochschule für öffentliche Verwaltung und Rechtspflege Meißen (FH);1079
University of Applied Police Sciences in Rothenburg;626
University of Applied Police Sciences Saxony-Anhalt;704
Fachhochschule für Verwaltung und Dienstleistung Altenholz;1716
Thüringer Fachhochschule für öffentliche Verwaltung Gotha;643
HMKW University of Applied Sciences for Media, Communication and Management;2056
HWTK University of Applied Sciences in Berlin;511
International Psychoanalytic University Berlin;858
Hochschule Emden/Leer;3898
;254
Kühne Logistics University;279
MSH Medical School Hamburg;5191
Hamm-Lippstadt University of Applied Sciences;4523
Rhine-Waal University of Applied Sciences;6337
Cologne Business School (CBS) - European University of Applied Sciences (Priv. FH);2492
University of Applied Management Studies;290
Ruhr West University of Applied Sciences;5557
;729
Bard College Berlin;362
;305
Akkon University for Applied Sciences;1407
;546
;1731
YMCA University of Applied Sciences;458
Hochschule Weserbergland (HSW), Hameln (Priv.FH);463
Leibniz - Fachhochschule Hannover (Priv. FH);599
Hochschule für Gesundheit, Bochum;1899
Fliedner Fachhochschule Düsseldorf (Priv. );2207
Fachhochschule Dresden (Priv. FH);504
Jade University of Applied Sciences;6127
;417
Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH);2962
Brandenburg University of Technology (BTU) Cottbus – Senftenberg;6189
;36
Hochschule Geisenheim University (FH);1587
;4633
Brandenburg Medical School Theodor Fontane;749
;59
;469
Berlin International University of Applied Sciences;526
NBS Northern Business School;856
;1374
;1402
Akademie der Polizei Hamburg;623
;138
;1433
;672
;478
;357
;575
University of Applied Education;498
;274
CODE University of Applied Sciences;597
Essen University of Fine Arts;322
;844
;617
Evangelical University of Tabor;165
HMU Health and Medical University;1354
University of Catholic Church Music and Music Education Regensburg;126
University of Copenhagen;35777
Aarhus University;31558
University of Southern Denmark;19085
Roskilde University;6484
Aalborg University;17846
Technical University of Denmark;13281
Copenhagen Business School;15179
IT University of Copenhagen;2335
Aarhus School of Architecture;573
Design School Kolding;357
The Royal Danish Academy of Fine Arts, Schools of Architecture, Design and Conservation;1323
University College of Northern Denmark;8688
University College South Denmark;5617
University College Lillebaelt;10465
University College Absalon;7765
VIA University College;18568
The Copenhagen School of Design and Technology;5290
Zealand Institute of Business and Technology;3401
Dania Academy;1699
IBA International Business Academy;1119
Copenhagen Business Academy;6012
EA Business Academy SouthWest;1248
Business Academy of higher education MidWest (in Danish);562
Business Academy Aarhus;4730
Danish School of Media and Journalism;1830
Svendborg International Maritime Academy (SIMAC);797
Probation Learning Center;366
University of Greenland;m
University of the Faroe Islands;m
The Independent Academy for Free School Teaching;295
University College Copenhagen;18510
Aarhus School of Marine and Technical Engineering;988
The Royal Danish Academy of Music;447
Rhythmic Music Conservatory;194
The Royal Academy of Music;373
Danish National Academy of Music;240
Police Academy;1411
Copenhagen School of Marine Engineering and Technology Management;862
Fredericia School of Marine Engineering;420
MARTEC - Maritime and Polytechnic College;589
University of Tartu;13510
Tallinn University of Technology;8220
Tallinn University;6545
Estonian University of Life Sciences;2635
Estonian Entrepreneurship University of Applied Sciences;1180
TTK University of Applied Sciences;2760
Estonian Business School;905
Tallinn Health Care College;1855
Tartu Health Care College;1315
Estonian Academy of Arts;1105
Estonian Academy of Security Sciences;745
Estonian Academy of Music and Theatre;515
Estonian Aviation Academy;245
Pallas University of Applied Sciences;310
Baltic Methodist Theological Seminar;65
Estonian Military Academy;255
Institute of Theology of the Estonian Evangelical Lutheran Church;120
Theological Seminary;65
University of Almeria;12954
University of Cádiz;20758
University of Cordoba;16298
University of Granada;48262
University of Huelva;9939
University of Jaén;14009
University of Málaga;33927
Pablo de Olavide University;12019
University of Seville;58138
University of Zaragoza;28870
University of Oviedo;18907
University of the Balearic Islands;13223
University of La Laguna;19309
University of Las Palmas de Gran Canaria;15277
University of Cantabria;9672
Autonomous University of Barcelona;36957
University of Barcelona;48969
University of Girona;14555
University of Lleida;10845
Universitat Politècnica de Catalunya · BarcelonaTech;30763
Pompeu Fabra University;18728
Rovira i Virgili University;16033
University of Castilla-La Mancha;25753
University of Alicante;23760
Jaume I University;12872
Miguel Hernández University of Elche;13299
Technical University of Valencia;31824
University of Valencia;42674
University of Burgos;7906
University of León;9668
University of Salamanca;23244
University of Valladolid;20118
University of Extremadura;18831
University of A Coruña;16113
University of Santiago de Compostela;22591
University of Vigo;17975
University of Alcalá;18886
Autonomous University of Madrid;26242
Carlos III University of Madrid;20183
Complutense University of Madrid;57963
Technical University of Madrid;33593
Rey Juan Carlos University;43335
University of Murcia;28648
Technical University of Cartagena;5238
Public University of Navarra;9624
University of the Basque Country;40004
University of La Rioja;4263
IE University;9343
Open University of Madrid (UDIMA);7006
Alfonso X El Sabio University;12826
Nebrija University;11863
Camilo José Cela University;11144
